word,category
biennials,N
fawn,V
lenitives,N
chaperonages,N
reallocations,N
jinrikishas,N
impotents,N
deferment,N
fleeces,N
chameleons,N
clotted,V
pantheistic,A
dogears,N
hanging,N
ticktocks,N
woody,N
underachieve,V
comically,A
localized,V
spidery,A
regularize,V
caner,N
canes,N
-follow,N
orthographies,N
fifer,N
scold,V
monographed,V
originality,N
mustachio,N
hallucinate,V
caned,V
alphabetic,A
gestate,V
bocks,N
slothful,A
wracked,V
citrus,N
goldenrod,N
belligerency,N
grenadiers,N
differently,A
millages,N
eugenics,N
fattiness,N
anaemic,A
appropriation,N
bogyman,N
rawhide,N
medicament,N
ingenuousnesses,N
fractal,N
seamier,A
revelers,N
caramels,N
boondogglers,N
liaisons,N
grueling,A
broiler,N
wooden,A
huddled,V
virtuosos,N
bitchier,A
circuitry,N
crotch,N
-nasty,N
amplifications,N
deferments,N
sailboarder,N
festered,V
guardsmen,N
suppressible,A
hospitably,A
sooty,A
gaskets,N
choppinesses,N
snuggles,N
scrapes,N
precocity,N
desiccant,N
feasibility,N
bannister,N
telecommutings,N
sooth,N
mortgages,N
tomographies,N
sportswears,N
presupposition,N
horseshoe,V
prosody,N
inanimate,A
jinrikisha,N
dormancy,N
errors,N
dialogs,N
semicircular,A
aphoristically,A
tiered,A
cooking,N
slabbed,V
shamble,V
warmongering,N
insistences,N
subtrahends,N
designing,N
televangelists,N
-corroborate,A
databank,N
succumb,V
-demoniac,N
shocks,N
sevens,N
crouch,V
chins,N
coypus,N
jubilantly,A
zlotys,N
mailings,N
perforations,N
brainwashed,V
affiliates,N
equestrianisms,N
chine,N
mutinied,V
china,N
berserks,N
finked,V
affiliated,V
chino,N
chink,V
doldrums,N
maxillae,N
kids,N
sillier,A
blowpipes,N
climbed,V
considerables,N
controversy,N
circumferences,N
jocks,N
viticulturist,N
greenmails,N
natures,N
neurologist,N
spotty,A
climber,N
tuberoses,N
millimetres,N
appropriately,A
cobblers,N
topography,N
projection,N
fretwork,N
lengthen,V
couched,V
spacewalks,N
stern,N
councilwomen,N
ticket,V
forbore,V
homespuns,N
faultfinder,N
catchy,A
insecurity,N
abbreviations,N
vicegerent,N
cannibal,N
sidebars,N
napalm,V
definiteness,N
-dagger,V
therefore,A
distortions,N
pickaxe,V
mutinies,N
voyageur,N
sermons,N
pinpoints,N
psychopathies,N
duals,N
expurgations,N
populations,N
circumstanced,V
mesmerize,V
crossbar,N
yahoo,N
faceted,V
exuberantly,A
milestones,N
expeditionary,A
alcoholically,A
serially,A
primeval,A
schoolboys,N
unpack,V
conch,N
copse,N
intake,N
morally,A
locked,V
eternalnesses,N
ocarinas,N
payslip,N
meadows,N
leadings,N
locker,N
locket,N
busyness,N
sandier,A
expressively,A
unreconstructed,A
zinnias,N
wand,N
pints,N
unjust,A
fluorite,N
ungraceful,A
edgeways,A
stoves,N
dishearteningly,A
slipcase,N
cookers,N
mail,V
rayon,N
pinto,N
cocksucker,N
absolute,N
sugarless,A
-omen,V
dybbukim,N
travel,V
shirked,V
missilry,N
clews,N
cutback,N
hoodooed,V
airlocks,N
objectivities,N
playback,N
goiters,N
urethra,N
dared,V
-off,N
lusciousnesses,N
canaries,N
shirker,N
cadence,N
detoxified,V
twines,N
twiner,N
pothook,N
uselessness,N
goober,N
poetries,N
assimilated,V
ptarmigan,N
garnishments,N
hourglass,N
stingier,A
apocrypha,N
dinosaurs,N
modest,A
piercing,N
stipulate,V
twined,V
pigment,N
outplacements,N
colorfully,A
caisson,N
subplots,N
noninterferences,N
kiloton,N
domineered,V
horribly,A
perpetrator,N
palatines,N
farmlands,N
nonsensical,A
romper,N
transvestism,N
smashers,N
-sundown,V
snugly,A
-architect,V
concurrence,N
aromatically,A
stoicism,N
-insolent,N
sidekicks,N
airbags,N
backings,N
-suede,V
incoherences,N
physiognomies,N
rewarded,V
butches,N
parallelisms,N
fir,N
pluvial,A
bicameralisms,N
wickedly,A
fit,V
mintier,A
lifeline,N
raggedness,N
fix,V
bienniums,N
randomization,N
waled,V
secede,V
fib,V
depoliticize,V
anticipations,N
fig,N
fie,I
reentered,V
truants,N
influentially,A
fin,N
bankrupts,N
filminess,N
bristle,V
woodsinesses,N
paterfamilias,N
songwriter,N
mountainside,N
riggers,N
vouchers,N
marabouts,N
inactivations,N
twits,N
memorialize,V
preemie,N
confute,V
rudders,N
prophesiers,N
multidimensional,A
laryngitides,N
undeveloped,A
driblets,N
glutted,V
cottonmouths,N
pricklinesses,N
fannies,N
defecate,V
archeology,N
wimples,N
factories,N
disconnection,N
pornographer,N
arrow,N
uninfluenced,A
burial,N
diatoms,N
telescope,V
canoeist,N
sandbars,N
aged,V
platelets,N
oohed,V
parasites,N
grapefruits,N
allay,V
tricked,V
deficients,N
channeled,V
buttercups,N
broiled,V
deerskin,N
ideograph,N
